language,scope,created_at,count
kotlin,android,2016-02-15,100
java,android,2016-02-15,9321
kotlin,all,2016-02-15,507
java,all,2016-02-15,88472
kotlin,android,2016-03-15,109
java,android,2016-03-15,10179
kotlin,all,2016-03-15,488
java,all,2016-03-15,95787
kotlin,android,2016-04-15,86
java,android,2016-04-15,8834
kotlin,all,2016-04-15,411
java,all,2016-04-15,85694
kotlin,android,2016-05-15,93
java,android,2016-05-15,8099
kotlin,all,2016-05-15,474
java,all,2016-05-15,82280
kotlin,android,2016-06-15,92
java,android,2016-06-15,7933
kotlin,all,2016-06-15,455
java,all,2016-06-15,74824
kotlin,android,2016-07-15,93
java,android,2016-07-15,7518
kotlin,all,2016-07-15,473
java,all,2016-07-15,76512
kotlin,android,2016-08-15,123
java,android,2016-08-15,8554
kotlin,all,2016-08-15,577
java,all,2016-08-15,91521
kotlin,android,2016-09-15,120
java,android,2016-09-15,8904
kotlin,all,2016-09-15,576
java,all,2016-09-15,101659
kotlin,android,2016-10-15,138
java,android,2016-10-15,9369
kotlin,all,2016-10-15,678
java,all,2016-10-15,111973
kotlin,android,2016-11-15,138
java,android,2016-11-15,9170
kotlin,all,2016-11-15,749
java,all,2016-11-15,106556
kotlin,android,2016-12-15,162
java,android,2016-12-15,8199
kotlin,all,2016-12-15,718
java,all,2016-12-15,86928
kotlin,android,2017-01-15,200
java,android,2017-01-15,10059
kotlin,all,2017-01-15,877
java,all,2017-01-15,109952
kotlin,android,2017-02-15,221
java,android,2017-02-15,10521
kotlin,all,2017-02-15,899
java,all,2017-02-15,118773
kotlin,android,2017-03-15,264
java,android,2017-03-15,11748
kotlin,all,2017-03-15,1163
java,all,2017-03-15,133280
kotlin,android,2017-04-15,247
java,android,2017-04-15,9929
kotlin,all,2017-04-15,1103
java,all,2017-04-15,116467
kotlin,android,2017-05-15,741
java,android,2017-05-15,10901
kotlin,all,2017-05-15,3148
java,all,2017-05-15,122776
kotlin,android,2017-06-15,601
java,android,2017-06-15,9676
kotlin,all,2017-06-15,2637
java,all,2017-06-15,109418
kotlin,android,2017-07-15,565
java,android,2017-07-15,9900
kotlin,all,2017-07-15,2631
java,all,2017-07-15,110176
kotlin,android,2017-08-15,697
java,android,2017-08-15,10799
kotlin,all,2017-08-15,3015
java,all,2017-08-15,125410
kotlin,android,2017-09-15,682
java,android,2017-09-15,10890
kotlin,all,2017-09-15,3140
java,all,2017-09-15,135340
kotlin,android,2017-10-15,955
java,android,2017-10-15,11449
kotlin,all,2017-10-15,4189
java,all,2017-10-15,152275
kotlin,android,2017-11-15,980
java,android,2017-11-15,11163
kotlin,all,2017-11-15,4639
java,all,2017-11-15,143244
kotlin,android,2017-12-15,1061
java,android,2017-12-15,10465
kotlin,all,2017-12-15,4270
java,all,2017-12-15,118740
kotlin,android,2018-01-15,1328
java,android,2018-01-15,12762
kotlin,all,2018-01-15,5551
java,all,2018-01-15,148973
kotlin,android,2018-02-15,1240
java,android,2018-02-15,11420
kotlin,all,2018-02-15,5839
java,all,2018-02-15,142197
kotlin,android,2018-03-15,1413
java,android,2018-03-15,12558
kotlin,all,2018-03-15,6493
java,all,2018-03-15,166773
kotlin,android,2018-04-15,1411
java,android,2018-04-15,11412
kotlin,all,2018-04-15,6354
java,all,2018-04-15,157094
kotlin,android,2018-05-15,1587
java,android,2018-05-15,11494
kotlin,all,2018-05-15,7117
java,all,2018-05-15,158617
kotlin,android,2018-06-15,1322
java,android,2018-06-15,9917
kotlin,all,2018-06-15,6346
java,all,2018-06-15,134424
kotlin,android,2018-07-15,1564
java,android,2018-07-15,9619
kotlin,all,2018-07-15,7150
java,all,2018-07-15,143819
kotlin,android,2018-08-15,1638
java,android,2018-08-15,9748
kotlin,all,2018-08-15,7459
java,all,2018-08-15,157502
kotlin,android,2018-09-15,1674
java,android,2018-09-15,9816
kotlin,all,2018-09-15,8045
java,all,2018-09-15,174871
kotlin,android,2018-10-15,1914
java,android,2018-10-15,10225
kotlin,all,2018-10-15,9407
java,all,2018-10-15,190344
kotlin,android,2018-11-15,1848
java,android,2018-11-15,9755
kotlin,all,2018-11-15,9671
java,all,2018-11-15,181168
kotlin,android,2018-12-15,1522
java,android,2018-12-15,8928
kotlin,all,2018-12-15,7777
java,all,2018-12-15,148307
